prompt,layer_21,layer_2,layer_5,layer_13,layer_14,layer_15,layer_12,layer_4,layer_3,layer_20,layer_11,layer_9,layer_16,layer_18,layer_0,layer_7,layer_23,layer_22,layer_6,layer_19,layer_1,cfg,layer_17,layer_10,layer_8
a red apple on a wooden table with a sticker that says 'organic',0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.358974358974359,0.45454545454545453,0.4,0.4827586206896552,0.5454545454545454,1.0,0.56,0.6666666666666666,0.6666666666666666,0.3684210526315789,0.5714285714285714,0.8571428571428571,0.25,0.3225806451612903,0.6666666666666666,0.36363636363636365,0.47619047619047616,0.3783783783783784,0.3333333333333333,0.6666666666666666,0.6363636363636364
a notebook with 'My Ideas' on the cover,0.5882352941176471,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3870967741935484,0.3076923076923077,0.3333333333333333,0.7619047619047619,0.42857142857142855,0.5555555555555556,0.4,0.0,0.5217391304347826,0.64,0.6956521739130435,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.5,0.5555555555555556,0.8888888888888888
a scarf with 'Paris' embroidered on it,0.0,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0
a plane flying above the clouds during sunset with 'SKYLINE' written on its tail,0.6666666666666666,0.7368421052631579,0.6666666666666666,0.5384615384615384,0.6363636363636364,0.56,0.6363636363636364,0.7142857142857143,0.56,0.9333333333333333,0.5833333333333334,0.6086956521739131,0.5833333333333334,0.5185185185185185,0.0,0.6363636363636364,1.0,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.6363636363636364,0.6363636363636364,0.56
an apron with 'Chef in Training' written on it,0.9032258064516129,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9032258064516129,0.0,0.967741935483871,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.967741935483871,0.9142857142857143
a chef preparing vegetables in a modern kitchen with an apron that says 'Plant Powered',0.34285714285714286,0.3582089552238806,0.2318840579710145,0.3870967741935484,0.3870967741935484,0.12987012987012986,0.36363636363636365,0.375,0.3870967741935484,0.48,0.3287671232876712,0.34375,0.36923076923076925,0.2727272727272727,1.0,0.4444444444444444,0.20833333333333334,0.43636363636363634,0.39344262295081966,0.38095238095238093,0.35294117647058826,0.4,0.6666666666666666,0.3076923076923077,0.27692307692307694
a rulebook titled 'Game Rules',0.014659685863874346,0.21739130434782608,0.01749271137026239,0.031067961165048542,0.01990049751243781,0.03902439024390244,0.02224694104560623,0.021413276231263382,0.02976190476190476,0.03005008347245409,0.017077798861480076,0.014796547472256474,0.023668639053254437,0.052770448548812667,0.5,0.015817223198594025,0.033734939759036145,0.02810304449648712,0.020156774916013438,0.08695652173913043,0.175,0.01680672268907563,0.4,0.02643171806167401,0.013082583810302535
A close-up of a car's dashboard with the digital speedometer reading '70 MPH'.,0.1511627906976744,0.0967741935483871,0.17,0.09278350515463918,0.1511627906976744,0.15294117647058825,0.12698412698412698,0.08648648648648649,0.1797752808988764,0.14583333333333334,0.06694560669456066,0.043478260869565216,0.17297297297297298,0.1032258064516129,0.13636363636363635,0.1477832512315271,0.18333333333333332,0.16666666666666666,0.14689265536723164,0.10869565217391304,0.1306532663316583,0.0821917808219178,0.11363636363636363,0.04,0.08536585365853659
an apron with 'Chef in Training' written on it,1.0,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9696969696969697
a wristband reading 'Music Festival',0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.3,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0
an envelope addressed 'To: John Smith',0.23853211009174313,0.23214285714285715,0.1984732824427481,0.24742268041237114,0.28865979381443296,0.2736842105263158,0.12935323383084577,0.24299065420560748,0.22807017543859648,0.2736842105263158,0.25,0.203125,0.25742574257425743,0.2524271844660194,0.8275862068965517,0.23636363636363636,0.22413793103448276,0.24074074074074073,0.22608695652173913,0.26373626373626374,0.22608695652173913,0.2708333333333333,0.23423423423423423,0.19607843137254902,0.22033898305084745
a scarf with 'Paris' embroidered on it,1.0,1.0,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.625,0.8,0.5454545454545454,0.8,0.0,0.4444444444444444,1.0,0.8888888888888888,0.8888888888888888,1.0,0.0,0.8888888888888888,0.4,0.0,1.0,1.0,0.5454545454545454,0.6,0.8,1.0
a sticky note with 'Call Mom' written on it,1.0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.0,1.0,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0,0.8888888888888888,1.0,1.0,1.0
a magazine with 'Sports Weekly' on the cover,0.03787878787878788,0.026881720430107527,0.02403204272363151,0.07202216066481995,0.05896805896805897,0.07079646017699115,0.019342359767891684,0.03110419906687403,0.04180064308681672,0.04680851063829787,0.05,0.08196721311475409,0.04975124378109453,0.0486815415821501,0.6428571428571429,0.043859649122807015,0.06265060240963856,0.058165548098434,0.06172839506172839,0.10465116279069768,0.09561752988047809,0.05405405405405406,0.0670391061452514,0.0395738203957382,0.03644646924829157
an elastic band with 'Stretch & Fit' printed on it,0.5185185185185185,0.5,0.56,0.42857142857142855,0.56,0.26666666666666666,0.56,0.3076923076923077,0.56,0.56,0.4666666666666667,0.56,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.4666666666666667,0.5,0.5384615384615384,0.5185185185185185,0.3225806451612903,0.56,0.5185185185185185,0.5384615384615384,0.5384615384615384
a hoodie with 'California' written on it,0.5882352941176471,0.8,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.631578947368421,0.6666666666666666,0.5555555555555556,0.7,0.6666666666666666,0.631578947368421,0.7368421052631579,0.7058823529411765,0.6666666666666666,0.7,0.5555555555555556,0.5555555555555556,0.5882352941176471,0.5,0.5882352941176471,0.5555555555555556,0.5882352941176471,0.7368421052631579,0.7,0.47058823529411764
a young girl holding a bunch of balloons with one balloon labeled 'happy day',0.8,0.5263157894736842,0.45454545454545453,0.42105263157894735,0.5555555555555556,0.5263157894736842,0.3333333333333333,0.2857142857142857,0.5,0.5263157894736842,0.3076923076923077,0.7777777777777778,0.4,0.5263157894736842,1.0,0.8421052631578947,0.5263157894736842,0.3157894736842105,0.7368421052631579,0.2222222222222222,0.47619047619047616,0.5555555555555556,0.8888888888888888,0.4,0.3
a label that says 'Organic',0.6666666666666666,0.6086956521739131,0.6086956521739131,0.6363636363636364,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6363636363636364,0.6086956521739131,0.7368421052631579,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.6086956521739131,0.6086956521739131,0.5454545454545454,0.6666666666666666,0.6363636363636364,1.0,0.5714285714285714,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6086956521739131
a chameleon resting on a leafy branch next to a wooden sign that says 'camouflage expert',0.8387096774193549,0.7333333333333333,0.8387096774193549,0.8823529411764706,0.8823529411764706,0.36363636363636365,0.8823529411764706,0.7741935483870968,0.9142857142857143,0.75,0.7096774193548387,0.7741935483870968,0.7096774193548387,0.7741935483870968,0.0,0.6153846153846154,0.8333333333333334,0.8484848484848485,0.7741935483870968,0.3076923076923077,0.9032258064516129,0.9032258064516129,0.48,0.8387096774193549,0.875
"A certificate that says 'Certificate of Achievement' in an old English, blackletter font.",0.24806201550387597,0.1572052401746725,0.09785932721712538,0.12101910828025478,0.12624584717607973,0.15637860082304528,0.1359773371104816,0.09375,0.147239263803681,0.10970464135021098,0.16176470588235295,0.12849162011173185,0.2155688622754491,0.43478260869565216,0.6086956521739131,0.13125,0.0916030534351145,0.11080332409972299,0.11475409836065574,0.2111801242236025,0.1242603550295858,0.10194174757281553,0.2638888888888889,0.11764705882352941,0.1337579617834395
"A shop sign that says 'Antiques' in an old-fashioned, Victorian-era font.",0.9333333333333333,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.6363636363636364,0.8235294117647058,0.7777777777777778,0.9333333333333333,0.9333333333333333,0.8235294117647058,0.9333333333333333,0.9333333333333333,0.5384615384615384,0.46153846153846156,0.4444444444444444,0.9333333333333333,0.7777777777777778,0.9333333333333333,0.9333333333333333,0.18666666666666668,0.9333333333333333,0.5833333333333334
a magazine with 'Sports Weekly' on the cover,0.044444444444444446,0.036281179138321996,0.05673758865248227,0.06629834254143646,0.04669260700389105,0.03090507726269316,0.04426559356136821,0.04128440366972477,0.03441682600382409,0.03524229074889868,0.04825737265415549,0.04205607476635514,0.06004618937644342,0.043668122270742356,0.2033898305084746,0.05851063829787234,0.072992700729927,0.052478134110787174,0.052884615384615384,0.049079754601226995,0.029339853300733496,0.07103825136612021,0.05994550408719346,0.05922551252847381,0.061224489795918366
a book with 'Adventure Stories' on the cover,0.25210084033613445,0.21428571428571427,0.18803418803418803,0.22695035460992907,0.27184466019417475,0.17721518987341772,0.2318840579710145,0.2111801242236025,0.2318840579710145,0.24060150375939848,0.2222222222222222,0.24793388429752067,0.22900763358778625,0.23703703703703705,1.0,0.18666666666666668,0.3125,0.35714285714285715,0.22900763358778625,0.16216216216216217,0.14166666666666666,0.2777777777777778,0.2,0.272,0.23357664233576642
a hat with 'Beach Life' embroidered on it,0.7777777777777778,0.5,0.7368421052631579,0.631578947368421,0.6666666666666666,0.5,0.7,0.42105263157894735,0.6666666666666666,0.7058823529411765,0.5555555555555556,0.8421052631578947,0.8421052631578947,0.7368421052631579,0.9,0.47058823529411764,0.35294117647058826,0.2857142857142857,0.47058823529411764,0.9473684210526315,0.9473684210526315,0.23529411764705882,0.3157894736842105,0.7777777777777778,0.9
A computer monitor displaying green lines of programming code.,0.06060606060606061,0.07100591715976332,0.18421052631578946,0.14689265536723164,0.11594202898550725,0.029411764705882353,0.02857142857142857,0.14084507042253522,0.0,0.0,0.11428571428571428,0.05970149253731343,0.13414634146341464,0.16666666666666666,0.0,0.07512953367875648,0.08823529411764706,0.06060606060606061,0.06099815157116451,0.0,0.0,0.17142857142857143,0.0,0.0625,0.16
a roadside billboard on a foggy morning with an ad that says 'start your journey',0.27692307692307694,0.8421052631578947,0.6829268292682927,0.4864864864864865,0.53125,0.3130434782608696,0.5142857142857142,0.6153846153846154,0.49230769230769234,0.53125,0.5,0.44155844155844154,0.4507042253521127,0.5660377358490566,0.0,0.8888888888888888,0.8717948717948718,0.7111111111111111,0.6666666666666666,0.35555555555555557,0.39344262295081966,0.5,0.8571428571428571,0.6415094339622641,0.5454545454545454
a bandana with 'Wild West' printed on it,0.16666666666666666,0.6956521739130435,0.9411764705882353,0.16666666666666666,0.7368421052631579,0.7777777777777778,0.5714285714285714,0.8421052631578947,0.0,0.0,0.6363636363636364,0.3076923076923077,0.0,0.0,1.0,0.0,0.4,0.25,0.8235294117647058,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.0,0.0,0.6363636363636364
a patch with 'Explorer' written on it,1.0,0.9333333333333333,0.875,1.0,0.9411764705882353,0.8888888888888888,1.0,1.0,0.35555555555555557,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0
A restaurant check on a table with a handwritten signature and tip amount.,0.22950819672131148,0.11764705882352941,0.2360248447204969,0.18410041841004185,0.21621621621621623,0.09523809523809523,0.1935483870967742,0.2074074074074074,0.2708333333333333,0.208955223880597,0.12121212121212122,0.22641509433962265,0.21714285714285714,0.16161616161616163,0.20754716981132076,0.2261904761904762,0.09782608695652174,0.1871345029239766,0.21,0.22702702702702704,0.03571428571428571,0.26506024096385544,0.215962441314554,0.15311004784688995,0.16289592760180996
a green water bottle on a bench with the brand name 'freshflow',0.8421052631578947,0.8888888888888888,0.5625,0.7777777777777778,1.0,0.8888888888888888,0.35294117647058826,0.6206896551724138,0.8235294117647058,0.8421052631578947,0.27692307692307694,0.5142857142857142,0.782608695652174,0.7777777777777778,0.0,1.0,0.9473684210526315,0.9473684210526315,0.5,0.9473684210526315,0.6666666666666666,1.0,0.35294117647058826,0.75,1.0
"A sign that says 'WANTED' in a rustic, western, wood-block font.",1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909091,0.4444444444444444,1.0,0.8333333333333334,1.0,1.0,0.7272727272727273,0.6666666666666666,1.0
A close-up of a person's forearm with a tattoo of a quote.,0.1830065359477124,0.30120481927710846,0.20253164556962025,0.2484472049689441,0.294478527607362,0.2926829268292683,0.15853658536585366,0.2727272727272727,0.23529411764705882,0.3087248322147651,0.16455696202531644,0.21052631578947367,0.2484472049689441,0.24161073825503357,0.0,0.21176470588235294,0.2111801242236025,0.15267175572519084,0.2550335570469799,0.2054794520547945,0.1935483870967742,0.1935483870967742,0.12631578947368421,0.21686746987951808,0.1696969696969697
a cap with 'NYC' embroidered on it,1.0,0.8571428571428571,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,1.0,1.0
A person holding a protest sign that reads 'PEACE NOW'.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
an instruction sheet titled 'Assembly Guide',0.011494252873563218,0.010077519379844961,0.008612123219609143,0.008466888418506199,0.008725459644749143,0.009566108643662453,0.00809950824414232,0.01317027281279398,0.009364548494983277,0.00980761976612599,0.009402283411685695,0.008455284552845528,0.008089607965152458,0.011555922410235245,0.0,0.00838439213157046,0.011574074074074073,0.018205461638491547,0.009097270818754374,0.009592326139088728,0.024459078080903106,0.010727969348659003,0.01061410159211524,0.009186351706036745,0.007819548872180452
A wooden crate with 'PROPERTY OF U.S. ARMY' stenciled on the side.,0.9,0.9047619047619048,0.975609756097561,0.7755102040816326,0.9,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.975609756097561,0.9767441860465116,0.926829268292683,0.926829268292683,0.9,0.24,0.9047619047619048,0.95,0.926829268292683,0.926829268292683,0.975609756097561,0.9090909090909091,0.8780487804878049,0.926829268292683,0.9767441860465116,0.8780487804878049
a patch with 'Explorer' written on it,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a turtle on a sandy beach near the water with a small sign that says 'nesting area',0.0,0.7333333333333333,0.0,0.5833333333333334,0.8695652173913043,0.0,1.0,0.0,0.0,0.0,0.32,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.75,0.0,0.96,0.8,0.0,1.0,0.9565217391304348
a package with 'Express Delivery' on it,0.967741935483871,0.967741935483871,0.5,0.8275862068965517,0.3516483516483517,0.9032258064516129,1.0,0.967741935483871,0.967741935483871,0.8666666666666667,0.6818181818181818,0.75,1.0,0.967741935483871,0.967741935483871,0.9696969696969697,0.9375,0.9333333333333333,0.967741935483871,0.875,0.3225806451612903,1.0,0.8,0.967741935483871,0.3595505617977528
