prompt,layer_22,layer_17,layer_9,layer_10,layer_0,layer_19,layer_7,layer_18,layer_6,layer_1,layer_11,layer_16,layer_8,layer_23,cfg,layer_2,layer_5,layer_15,layer_12,layer_20,layer_21,layer_13,layer_14,layer_4,layer_3
A close-up of a person's forearm with a tattoo of a quote.,0.1978021978021978,0.20952380952380953,0.10909090909090909,0.22018348623853212,0.30434782608695654,0.23300970873786409,0.08620689655172414,0.21153846153846154,0.2803738317757009,0.36538461538461536,0.2803738317757009,0.16981132075471697,0.23853211009174313,0.1509433962264151,0.23214285714285715,0.22857142857142856,0.18181818181818182,0.24528301886792453,0.23636363636363636,0.21428571428571427,0.16071428571428573,0.24299065420560748,0.24299065420560748,0.17307692307692307,0.14285714285714285
a group of teenagers sitting around a campfire at night with a blanket that says 'Adventure Club',0.5454545454545454,0.35714285714285715,0.44,0.47619047619047616,0.2222222222222222,0.26229508196721313,0.3448275862068966,0.6666666666666666,0.3181818181818182,0.3333333333333333,0.43137254901960786,0.16393442622950818,0.3287671232876712,0.5185185185185185,0.5185185185185185,0.5581395348837209,0.43902439024390244,0.5789473684210527,0.27906976744186046,0.4666666666666667,0.35714285714285715,0.3157894736842105,0.29411764705882354,0.4090909090909091,0.5531914893617021
an abandoned train station covered in overgrown vines and rusted metal with a faded sign that says 'central line closed',0.7878787878787878,0.9473684210526315,0.9047619047619048,0.9743589743589743,0.9743589743589743,0.9230769230769231,1.0,0.9743589743589743,0.9743589743589743,1.0,0.9,0.9230769230769231,0.9230769230769231,0.972972972972973,0.9743589743589743,0.95,0.7555555555555555,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9743589743589743,0.7037037037037037,0.6037735849056604,1.0
a book with 'Adventure Stories' on the cover,0.2782608695652174,0.30927835051546393,0.24324324324324326,0.18085106382978725,0.9090909090909091,0.14084507042253522,0.17094017094017094,0.29310344827586204,0.14173228346456693,0.5573770491803278,0.18604651162790697,0.14285714285714285,0.08917197452229299,0.5396825396825397,0.18487394957983194,0.5151515151515151,0.11235955056179775,0.23333333333333334,0.11363636363636363,0.3434343434343434,0.30357142857142855,0.2158273381294964,0.125,0.2601626016260163,0.2631578947368421
a headband saying 'Fitness First',1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.9230769230769231,0.9629629629629629,1.0,1.0,0.96,1.0,1.0,0.9230769230769231,0.9629629629629629,1.0,0.9230769230769231,0.9629629629629629,1.0,0.9629629629629629,0.9230769230769231,0.9629629629629629,1.0,1.0,1.0
a white sports car parked near a palm tree with a license plate reading 'DRIVE',0.38461538461538464,0.3448275862068966,0.8888888888888888,0.38461538461538464,0.7142857142857143,0.42105263157894735,0.8888888888888888,0.6,0.6153846153846154,0.5,0.7142857142857143,0.5,0.6153846153846154,0.7272727272727273,1.0,0.625,0.7692307692307693,0.625,0.6153846153846154,0.5714285714285714,0.8,1.0,0.8888888888888888,0.47619047619047616,0.6666666666666666
a receipt showing 'Total: $15.99',0.03323262839879154,0.043052837573385516,0.040160642570281124,0.042833607907743,0.5294117647058824,0.043795620437956206,0.0582010582010582,0.04782608695652174,0.10582010582010581,0.022940563086548488,0.0625,0.05034324942791762,0.06020066889632107,0.03237410071942446,0.037037037037037035,0.0851063829787234,0.04081632653061224,0.05339805825242718,0.06111111111111111,0.048672566371681415,0.024330900243309004,0.042283298097251586,0.1326530612244898,0.057441253263707574,0.053061224489795916
"a name tag saying 'Hello, I'm Sarah'",0.6363636363636364,0.56,0.6666666666666666,0.5217391304347826,0.48,0.45454545454545453,0.5833333333333334,0.7272727272727273,0.5217391304347826,0.46153846153846156,0.7272727272727273,0.6363636363636364,0.64,0.5833333333333334,0.7272727272727273,0.46153846153846156,0.56,0.7272727272727273,0.6086956521739131,0.6363636363636364,0.6086956521739131,0.6956521739130435,0.5,0.6086956521739131,0.5833333333333334
"A sign that says 'WANTED' in a rustic, western, wood-block font.",0.5,0.6153846153846154,0.46153846153846156,0.6153846153846154,1.0,0.16666666666666666,0.6153846153846154,0.5454545454545454,0.6153846153846154,1.0,0.6153846153846154,0.6666666666666666,0.36363636363636365,0.0,0.5454545454545454,0.46153846153846156,0.9230769230769231,0.5454545454545454,0.7692307692307693,0.5,0.3076923076923077,0.6153846153846154,0.6666666666666666,0.46153846153846156,0.6666666666666666
A plain white envelope with a handwritten address on the front.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.0,0.0,0.0
"a name tag saying 'Hello, I'm Sarah'",0.64,0.64,0.5833333333333334,0.56,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.64,0.6666666666666666,0.5833333333333334,0.64,0.5161290322580645,0.42105263157894735,0.64,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42105263157894735,0.6666666666666666,0.64,0.6666666666666666,0.64,0.6666666666666666,0.6956521739130435
a delivery robot moving across a sidewalk in the city with a digital screen showing 'order en route',0.6222222222222222,0.6511627906976745,0.49056603773584906,0.5957446808510638,1.0,0.5531914893617021,0.3235294117647059,0.49122807017543857,0.5714285714285714,0.8,0.4375,0.37681159420289856,0.4,0.6666666666666666,0.5185185185185185,0.6190476190476191,0.2597402597402597,0.4117647058823529,0.3466666666666667,0.7222222222222222,0.5957446808510638,0.38461538461538464,0.7,0.5283018867924528,0.4827586206896552
a prescription labeled 'Take twice daily',0.19736842105263158,0.20689655172413793,0.4507042253521127,0.35714285714285715,0.967741935483871,0.36363636363636365,0.5625,0.39215686274509803,0.3384615384615385,0.9333333333333333,0.5,0.22580645161290322,0.5333333333333333,0.11206896551724138,0.4528301886792453,0.625,0.40816326530612246,0.2,0.3793103448275862,0.2898550724637681,0.41509433962264153,0.36,0.3448275862068966,0.4897959183673469,0.5625
A prescription pad with a doctor's handwritten notes and a signature.,0.1323529411764706,0.05371900826446281,0.1240981240981241,0.07380952380952381,0.21176470588235294,0.07847800237812129,0.10223642172523961,0.15352697095435686,0.10810810810810811,0.13097345132743363,0.10281923714759536,0.09852216748768473,0.09399477806788512,0.12958963282937366,0.07608695652173914,0.13043478260869565,0.10991957104557641,0.0743801652892562,0.09109730848861283,0.057663125948406675,0.06259780907668232,0.14579439252336449,0.06369426751592357,0.06748466257668712,0.10545454545454545
a t-shirt that says 'Surfing USA',0.5,0.9565217391304348,0.4782608695652174,0.9166666666666666,0.9565217391304348,1.0,0.9523809523809523,0.8,0.9523809523809523,0.7586206896551724,0.47368421052631576,0.6153846153846154,1.0,0.6206896551724138,1.0,0.9565217391304348,0.9523809523809523,0.5925925925925926,0.9523809523809523,0.7586206896551724,1.0,0.5925925925925926,0.9090909090909091,1.0,0.7586206896551724
a phone case that says 'Dream Big',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a messenger bag with 'Urban Style' printed on it,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,0.08333333333333333,0.7407407407407407,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A green highway sign that reads 'New York - 50 Miles'.,0.85,0.918918918918919,0.8947368421052632,0.85,0.9230769230769231,0.918918918918919,0.918918918918919,0.918918918918919,0.8947368421052632,0.918918918918919,0.8947368421052632,0.85,0.918918918918919,0.8947368421052632,0.8292682926829268,0.85,0.85,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.8292682926829268,0.918918918918919,0.918918918918919,0.918918918918919
a menu board outside a small street café displaying the phrase 'fresh soup today',0.1,0.3333333333333333,0.45714285714285713,0.32989690721649484,0.34782608695652173,0.4,0.34782608695652173,0.21052631578947367,0.1871345029239766,0.0855614973262032,0.4444444444444444,0.2191780821917808,0.18181818181818182,0.15151515151515152,0.3902439024390244,0.41025641025641024,0.12698412698412698,0.12556053811659193,0.3106796116504854,0.16296296296296298,0.17777777777777778,0.46153846153846156,0.32323232323232326,0.19875776397515527,0.13114754098360656
a postcard with 'Greetings from Paris' on it,0.56,0.5245901639344263,0.13953488372093023,0.4642857142857143,0.5365853658536586,0.5172413793103449,0.27848101265822783,0.36065573770491804,0.2857142857142857,0.4533333333333333,0.3076923076923077,0.4482758620689655,0.4482758620689655,0.4090909090909091,0.34782608695652173,0.5333333333333333,0.25263157894736843,0.3469387755102041,0.34285714285714286,0.35443037974683544,0.38461538461538464,0.21818181818181817,0.45714285714285713,0.2682926829268293,0.4642857142857143
a banner that says 'Grand Opening',0.8125,1.0,0.8125,1.0,1.0,0.9629629629629629,1.0,1.0,1.0,0.8125,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,0.8387096774193549,0.7878787878787878,0.8125,0.9629629629629629,0.9285714285714286,1.0,1.0,0.9629629629629629
a woman standing at a train station with luggage that has a tag reading 'Travel Light',0.43137254901960786,0.5806451612903226,0.38461538461538464,0.8571428571428571,0.0,0.48,0.4,0.3018867924528302,0.6206896551724138,0.6,0.2916666666666667,0.4583333333333333,0.9090909090909091,0.6,0.40816326530612246,0.7142857142857143,0.48,0.4,0.38461538461538464,0.5333333333333333,0.4827586206896552,0.3,0.3448275862068966,0.45161290322580644,0.46153846153846156
a boy flying a kite in an open field with the words 'sky dreamer' written on the kite,0.7586206896551724,0.9166666666666666,0.6875,0.36363636363636365,0.3333333333333333,0.25,0.7096774193548387,0.5555555555555556,1.0,0.7058823529411765,0.7272727272727273,0.9090909090909091,0.5945945945945946,0.8461538461538461,0.6875,0.8,0.8148148148148148,0.55,0.4,0.625,0.7586206896551724,0.8148148148148148,0.5789473684210527,0.3870967741935484,0.6285714285714286
"A wizard's library with a large, open spellbook on a lectern, showing a page with the title 'Incantation of Fire'.",0.06491228070175438,0.031746031746031744,0.018342391304347828,0.029197080291970802,0.22033898305084745,0.02696793002915452,0.010382868267358857,0.039735099337748346,0.03288271830471319,0.026276276276276277,0.05405405405405406,0.031270358306188926,0.03457548981943911,0.10227272727272728,0.028609745194456863,0.029850746268656716,0.022487702037947997,0.007246376811594203,0.008998875140607425,0.02823349866463182,0.027899561578318056,0.016314423433444566,0.025872442839951864,0.009738822487826471,0.03353396388650043
a recipe card titled 'Chocolate Cake',0.08668730650154799,0.11244979919678715,0.26666666666666666,0.35,0.9629629629629629,0.16470588235294117,0.25263157894736843,0.15555555555555556,0.28,0.12389380530973451,0.3076923076923077,0.13930348258706468,0.19444444444444445,0.11255411255411256,0.2857142857142857,0.25688073394495414,0.30434782608695654,0.10852713178294573,0.21374045801526717,0.18055555555555555,0.14545454545454545,0.3076923076923077,0.125,0.5,0.11570247933884298
a bottle with 'Pure Water' on the label,0.3448275862068966,0.29411764705882354,0.16260162601626016,0.21052631578947367,0.4444444444444444,0.1834862385321101,0.18691588785046728,0.2597402597402597,0.2247191011235955,0.39215686274509803,0.20202020202020202,0.23809523809523808,0.13953488372093023,0.4166666666666667,0.19801980198019803,0.24691358024691357,0.1724137931034483,0.1935483870967742,0.5263157894736842,0.36363636363636365,0.21052631578947367,0.21505376344086022,0.3125,0.1834862385321101,0.43478260869565216
a news broadcast set with cameras and screens in the background and a headline that reads 'breaking: storm alert',0.47191011235955055,0.525,0.5135135135135135,0.32786885245901637,0.5121951219512195,0.3387096774193548,0.40816326530612246,0.4810126582278481,0.336,0.2,0.5060240963855421,0.39622641509433965,0.40425531914893614,0.45454545454545453,0.27586206896551724,0.6538461538461539,0.3333333333333333,0.525,0.4077669902912621,0.21649484536082475,0.2545454545454545,0.3140495867768595,0.3089430894308943,0.5588235294117647,0.2898550724637681
an apron with 'Chef in Training' written on it,0.9375,1.0,0.6875,0.2608695652173913,0.896551724137931,0.7272727272727273,0.9696969696969697,0.2608695652173913,0.9375,1.0,1.0,0.6060606060606061,0.2608695652173913,0.6666666666666666,0.8333333333333334,0.9375,0.7272727272727273,0.8125,0.7272727272727273,1.0,0.75,0.9090909090909091,0.7878787878787878,0.9375,0.967741935483871
a flyer advertising 'Pizza Sale Today',0.12422360248447205,0.0898876404494382,0.08310249307479224,0.09556313993174062,0.48,0.0912280701754386,0.10223642172523961,0.0896551724137931,0.07038123167155426,0.06535947712418301,0.07164179104477612,0.08226221079691516,0.06933333333333333,0.12578616352201258,0.07142857142857142,0.10062893081761007,0.07957559681697612,0.0948905109489051,0.09063444108761329,0.0755813953488372,0.07734806629834254,0.09665427509293681,0.11627906976744186,0.11895910780669144,0.04460966542750929
a hat with 'Beach Life' embroidered on it,0.6666666666666666,0.5263157894736842,1.0,0.8,0.5555555555555556,0.8,0.8,0.6666666666666666,0.9,0.5555555555555556,0.8181818181818182,0.8,0.7368421052631579,0.6956521739130435,0.8421052631578947,0.7058823529411765,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7368421052631579,0.6086956521739131,0.9,0.7,0.7368421052631579,0.7619047619047619
a cat sleeping in a cardboard box with a note on the box that says 'do not disturb',0.8,0.7692307692307693,0.896551724137931,0.8148148148148148,0.5806451612903226,0.8,0.9285714285714286,0.7857142857142857,0.896551724137931,0.5161290322580645,0.5806451612903226,0.6923076923076923,0.7692307692307693,0.7142857142857143,0.72,0.46153846153846156,0.8,0.6,0.9285714285714286,0.8275862068965517,0.8666666666666667,0.896551724137931,0.6,0.5714285714285714,0.6111111111111112
a bottle with 'Pure Water' on the label,0.15748031496062992,0.0962566844919786,0.16393442622950818,0.14084507042253522,0.7407407407407407,0.19607843137254902,0.15267175572519084,0.2564102564102564,0.1509433962264151,0.4,0.2,0.1651376146788991,0.13986013986013987,0.22727272727272727,0.14814814814814814,0.21978021978021978,0.20408163265306123,0.21052631578947367,0.20202020202020202,0.18018018018018017,0.11612903225806452,0.19148936170212766,0.17543859649122806,0.12631578947368421,0.2898550724637681
a handbook titled 'Employee Manual',0.875,0.896551724137931,0.224,0.875,0.9032258064516129,0.9655172413793104,0.4411764705882353,0.6666666666666666,0.875,1.0,0.896551724137931,0.9032258064516129,0.9333333333333333,0.8235294117647058,0.9655172413793104,0.9375,0.6666666666666666,0.9375,0.9655172413793104,0.9333333333333333,0.9333333333333333,0.875,0.9655172413793104,0.45454545454545453,0.3448275862068966
"A sign that says 'DINER' in a 1950s-style retro, chrome font.",1.0,1.0,0.9090909090909091,0.6666666666666666,0.9090909090909091,0.8,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.7692307692307693,0.7272727272727273,1.0,0.9090909090909091,1.0,1.0,0.9090909090909091,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.7692307692307693,0.8888888888888888
a crate filled with oranges at a farmer's market with a sign that says 'fresh and local',0.37037037037037035,0.34615384615384615,0.32,0.23076923076923078,0.34782608695652173,0.3508771929824561,0.2909090909090909,0.32,0.30303030303030304,0.35714285714285715,0.25806451612903225,0.34615384615384615,0.3076923076923077,0.3333333333333333,0.34615384615384615,0.19230769230769232,0.32,0.2222222222222222,0.26666666666666666,0.2545454545454545,0.18518518518518517,0.3018867924528302,0.23333333333333334,0.25,0.34615384615384615
a vending machine stocked with colorful drinks and the message 'cold and refreshing' printed at the top,0.22641509433962265,0.3829787234042553,0.27692307692307694,0.3956043956043956,0.8095238095238095,0.25,0.3564356435643564,0.3870967741935484,0.34951456310679613,0.1878453038674033,0.3564356435643564,0.5294117647058824,0.2748091603053435,0.4578313253012048,0.5217391304347826,0.3564356435643564,0.46153846153846156,0.2482758620689655,0.2011173184357542,0.28125,0.2535211267605634,0.3673469387755102,0.3157894736842105,0.34951456310679613,0.35294117647058826
a red bicycle leaning against a metal fence with a sticker that says 'ride safe',0.42105263157894735,0.5185185185185185,0.2857142857142857,0.7272727272727273,0.0,0.35294117647058826,0.6666666666666666,0.5714285714285714,0.5555555555555556,0.17391304347826086,0.4827586206896552,0.42105263157894735,0.8421052631578947,0.2857142857142857,0.4166666666666667,0.8,0.7368421052631579,0.5217391304347826,0.35714285714285715,0.5925925925925926,0.5714285714285714,0.5,0.5,0.4827586206896552,0.0
