prompt,layer_9,layer_0,layer_7,layer_10,layer_17,layer_6,layer_1,layer_8,layer_18,layer_16,layer_11,cfg,layer_12,layer_15,layer_2,layer_5,layer_14,layer_13,layer_4,layer_3
"A detective's office with a corkboard covered in notes, photos, and newspaper clippings with visible text.",0.23129251700680273,0.28125,0.1619718309859155,0.2222222222222222,0.09230769230769231,0.189873417721519,0.07142857142857142,0.265625,0.205607476635514,0.16568047337278108,0.184,0.12578616352201258,0.058823529411764705,0.18867924528301888,0.0,0.22950819672131148,0.14917127071823205,0.2146341463414634,0.21084337349397592,0.17037037037037037
a lunch box with 'Emma's Lunch' written on it,0.36363636363636365,0.5333333333333333,0.5,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333
a clipboard paper reading 'Sign Up Sheet',0.7,1.0,0.47619047619047616,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8148148148148148,1.0,1.0,1.0,1.0,1.0,0.7,0.7692307692307693,0.5384615384615384,1.0,1.0,0.6153846153846154,0.9230769230769231,0.45454545454545453
a card that reads 'Happy Birthday',0.5714285714285714,0.4444444444444444,0.5517241379310345,0.4,0.35714285714285715,0.6206896551724138,0.5925925925925926,0.3333333333333333,0.38461538461538464,1.0,0.42857142857142855,0.7857142857142857,0.5,0.8888888888888888,0.38461538461538464,0.5714285714285714,0.5333333333333333,0.47368421052631576,0.42857142857142855,1.0
A green sign on a door with the word 'EXIT'.,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6153846153846154,1.0,1.0,0.6153846153846154,1.0
a notebook and pen on a desk with 'ideas' written on the notebook cover,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.7692307692307693,0.7692307692307693,0.8333333333333334,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0
a chameleon resting on a leafy branch next to a wooden sign that says 'camouflage expert',1.0,1.0,1.0,0.8,1.0,1.0,0.9411764705882353,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714
a whiteboard with 'Meeting at 3pm' written on it,0.6,0.5517241379310345,0.7857142857142857,0.6896551724137931,0.7857142857142857,0.7857142857142857,0.6060606060606061,0.7857142857142857,0.7857142857142857,0.8888888888888888,0.7857142857142857,0.6428571428571429,0.5185185185185185,0.5,0.0,0.5,0.8461538461538461,0.9629629629629629,0.5,0.5714285714285714
a turtle swimming in a clear blue pond with a tag on its shell that says 'protected',0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a report titled 'Annual Summary',0.24561403508771928,0.0,0.03218390804597701,0.03294117647058824,0.032036613272311214,0.023809523809523808,0.36363636363636365,0.054901960784313725,0.1891891891891892,0.026241799437675725,0.04844290657439446,0.026119402985074626,0.023026315789473683,0.025688073394495414,0.0,0.0330188679245283,0.06682577565632458,0.12173913043478261,0.026365348399246705,0.0492091388400703
a magazine with 'Sports Weekly' on the cover,0.04555808656036447,0.21052631578947367,0.04,0.03098106712564544,0.020930232558139535,0.045548654244306416,0.06432748538011696,0.06493506493506493,0.03080872913992298,0.04609929078014184,0.04526748971193416,0.033444816053511704,0.04583333333333333,0.05092592592592592,0.6,0.04285714285714286,0.04056795131845842,0.05037783375314862,0.03795066413662239,0.04081632653061224
"A brand name 'COLA' in an elegant, flowing, script font.",0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.75,1.0,1.0,0.75,0.75,1.0,1.0
a signpost at the entrance of a forest trail with the text 'nature walk starts here',1.0,1.0,0.6956521739130435,1.0,0.6956521739130435,1.0,0.9387755102040817,0.6956521739130435,1.0,0.6956521739130435,0.6956521739130435,0.6666666666666666,0.9787234042553191,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.6956521739130435
a keychain with 'Home Sweet Home' on it,0.8823529411764706,0.24,0.0,1.0,0.8108108108108109,0.6382978723404256,0.9375,0.9333333333333333,0.8,0.8,0.9375,1.0,0.11206896551724138,0.9333333333333333,1.0,0.0,0.9333333333333333,0.5357142857142857,0.75,1.0
a bandana with 'Wild West' printed on it,0.75,0.6153846153846154,1.0,1.0,0.6666666666666666,0.14285714285714285,1.0,0.9,1.0,1.0,0.0,0.9411764705882353,0.13043478260869565,0.0,1.0,0.5,0.9411764705882353,0.0,0.8888888888888888,1.0
a white sports car parked near a palm tree with a license plate reading 'DRIVE',1.0,1.0,1.0,1.0,0.47619047619047616,0.5555555555555556,0.7692307692307693,0.4,0.5,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,0.8
a trophy engraved with 'First Place',0.6060606060606061,1.0,1.0,0.9090909090909091,0.9090909090909091,0.55,1.0,0.7586206896551724,0.9523809523809523,0.6666666666666666,0.5925925925925926,1.0,0.8181818181818182,0.4,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9523809523809523
"A street sign that says 'Main St' in a clear, standardized, highway gothic font.",1.0,0.8235294117647058,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,0.9333333333333333,0.7,1.0,1.0,1.0
a bottle with 'Pure Water' on the label,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.9523809523809523,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
a coffee cup with 'Morning Fuel' printed on it,0.9166666666666666,0.6666666666666666,0.9166666666666666,1.0,1.0,0.9230769230769231,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
"A handwritten note that says 'I Owe You' in messy, scrawled, quick handwriting.",0.4444444444444444,0.5833333333333334,0.42105263157894735,0.9,0.7058823529411765,0.9,0.7619047619047619,0.5882352941176471,0.9,0.8235294117647058,0.875,0.8,0.9,0.75,0.8,0.9,0.5,0.8421052631578947,0.9473684210526315,0.9
"a name tag saying 'Hello, I'm Sarah'",0.6086956521739131,0.6956521739130435,0.6363636363636364,0.6956521739130435,0.6363636363636364,0.6363636363636364,0.4666666666666667,0.5454545454545454,0.5454545454545454,0.3783783783783784,0.6363636363636364,0.6363636363636364,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.7,0.6956521739130435
a banner that says 'Grand Opening',0.2857142857142857,1.0,1.0,0.5384615384615384,1.0,1.0,0.9285714285714286,0.9230769230769231,1.0,0.9629629629629629,1.0,0.9230769230769231,0.88,0.2,1.0,0.96,0.8461538461538461,0.3157894736842105,0.9285714285714286,0.5185185185185185
"A military crate with 'PROPERTY' in a bold, military stencil font.",1.0,0.631578947368421,0.8421052631578947,0.8421052631578947,0.42424242424242425,0.6666666666666666,0.7777777777777778,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8,1.0
a trophy engraved with 'First Place',0.8461538461538461,1.0,0.2857142857142857,0.7586206896551724,1.0,0.9090909090909091,0.9565217391304348,0.273972602739726,0.3728813559322034,1.0,0.6875,0.625,0.4782608695652174,0.6470588235294118,0.0,0.4,0.6470588235294118,0.6470588235294118,0.32786885245901637,0.6470588235294118
a chalkboard in a quiet university lecture hall with the words 'final exam schedule' written on it,1.0,0.3392857142857143,0.926829268292683,1.0,0.7755102040816326,0.7916666666666666,0.59375,1.0,1.0,0.9230769230769231,0.32432432432432434,1.0,1.0,1.0,0.5882352941176471,1.0,1.0,1.0,1.0,1.0
"An invitation that says 'Wedding' in an ornate, cursive, calligraphic script.",0.9333333333333333,0.36363636363636365,0.9333333333333333,0.9333333333333333,0.8,0.7058823529411765,0.5333333333333333,0.6666666666666666,0.8,0.9333333333333333,0.47619047619047616,0.8,0.8,0.7692307692307693,0.8,0.14736842105263157,0.9333333333333333,0.5714285714285714,1.0,0.8571428571428571
a menu board outside a small street café displaying the phrase 'fresh soup today',0.6530612244897959,0.75,0.6956521739130435,0.9375,0.6470588235294118,0.6341463414634146,1.0,0.8,0.9090909090909091,0.6666666666666666,0.875,0.7142857142857143,0.5238095238095238,0.6666666666666666,0.8421052631578947,0.8888888888888888,0.6666666666666666,0.6956521739130435,0.6382978723404256,0.6666666666666666
a tote bag with 'Eco Friendly' printed on it,1.0,0.2,1.0,1.0,0.8695652173913043,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
"A newspaper headline 'WAR ENDS' in a bold, very large, impactful, sans-serif font.",0.043835616438356165,0.16666666666666666,0.030303030303030304,0.01639344262295082,0.008501594048884165,0.008606777837547068,0.09090909090909091,0.04395604395604396,0.009286128845037725,0.02618657937806874,0.02576489533011272,0.014414414414414415,0.008188331627430911,0.03018867924528302,0.3076923076923077,0.008465608465608466,0.04336043360433604,0.023088023088023088,0.13445378151260504,1.0
a banner that says 'Grand Opening',0.65,1.0,0.47058823529411764,1.0,0.96,1.0,0.96,1.0,1.0,0.49056603773584906,1.0,0.8387096774193549,1.0,0.9230769230769231,0.7,1.0,1.0,0.8387096774193549,1.0,0.8125
a brochure titled 'Visit Paris',0.25287356321839083,0.2,0.2535211267605634,0.13157894736842105,0.25,0.24444444444444444,0.7,0.10778443113772455,0.1694915254237288,0.21568627450980393,0.2597402597402597,0.036,0.21176470588235294,0.1686746987951807,0.0,0.2558139534883721,0.24719101123595505,0.20512820512820512,0.08333333333333333,0.09401709401709402
"A sign that says 'WANTED' in a rustic, western, wood-block font.",1.0,0.3333333333333333,1.0,0.8333333333333334,1.0,0.8333333333333334,0.5714285714285714,0.8333333333333334,1.0,0.9090909090909091,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
a book with 'Adventure Stories' on the cover,0.5862068965517241,0.6415094339622641,0.6938775510204082,0.7391304347826086,0.0,0.6181818181818182,0.6415094339622641,0.5573770491803278,0.68,0.6071428571428571,0.5666666666666667,0.5483870967741935,0.68,1.0,0.7083333333333334,0.43037974683544306,1.0,0.68,0.6415094339622641,0.6071428571428571
"a science lab with beakers, wires, and glowing equipment on metal tables and a warning label that says 'high voltage'",0.3,0.0,0.0,0.0,0.2962962962962963,0.14285714285714285,0.0,0.1,0.0,0.18181818181818182,0.0,0.06896551724137931,0.10526315789473684,0.0,0.3448275862068966,0.14285714285714285,0.05,0.06896551724137931,0.0,0.0
a row of cereal boxes on a grocery store shelf with one labeled 'CRUNCHY CORN',0.14906832298136646,0.047619047619047616,0.16783216783216784,0.21621621621621623,0.23300970873786409,0.22857142857142856,0.15730337078651685,0.20512820512820512,0.16,0.13333333333333333,0.24742268041237114,0.1889763779527559,0.16783216783216784,0.1518987341772152,0.07692307692307693,0.22641509433962265,0.22857142857142856,0.22,0.3116883116883117,0.1864406779661017
a war memorial in a foggy park surrounded by autumn leaves with an inscription that reads 'for those who served',0.21428571428571427,0.0,0.14,0.22388059701492538,0.20512820512820512,0.38596491228070173,0.0,0.30985915492957744,0.23529411764705882,0.24793388429752067,0.23809523809523808,0.35,0.0,0.2912621359223301,0.16666666666666666,0.1935483870967742,0.2807017543859649,0.47368421052631576,0.23076923076923078,0.18333333333333332
a cat sleeping in a cardboard box with a note on the box that says 'do not disturb',0.5517241379310345,0.6206896551724138,0.7142857142857143,0.9655172413793104,0.5,0.896551724137931,0.896551724137931,0.5714285714285714,0.7142857142857143,0.6206896551724138,0.896551724137931,0.7142857142857143,0.8,0.7142857142857143,0.6206896551724138,0.7142857142857143,0.896551724137931,0.5517241379310345,0.9655172413793104,0.9655172413793104
a hat with 'Beach Life' embroidered on it,0.7368421052631579,0.6,0.6666666666666666,0.9,0.8,0.9523809523809523,0.5555555555555556,0.7,0.42857142857142855,0.9,0.9,0.7368421052631579,0.9523809523809523,0.42857142857142855,0.7058823529411765,0.7368421052631579,0.5,0.8,0.7,0.8
A red soda can with the 'Coca-Cola' logo in white script.,0.46153846153846156,0.625,0.46153846153846156,0.5,0.6666666666666666,0.3076923076923077,0.26666666666666666,0.3157894736842105,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.2857142857142857,0.46153846153846156,0.7058823529411765,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.2857142857142857
a hoodie with 'California' written on it,0.3,0.8421052631578947,0.4444444444444444,0.9,0.5882352941176471,0.4444444444444444,0.8,0.6666666666666666,0.631578947368421,0.6,0.631578947368421,0.631578947368421,0.4,0.3333333333333333,0.6666666666666666,0.9,0.6666666666666666,0.8,0.6666666666666666,0.625
a newspaper with headline 'Local News Today',0.0672782874617737,0.049886621315192746,1.0,0.006268364348677767,0.05687203791469194,0.00950965824665676,0.4126984126984127,1.0,0.007622677465459742,0.024691358024691357,0.0460431654676259,0.0218921032056294,0.008050314465408805,0.007471398552416531,0.4482758620689655,0.00723938223938224,0.0072810011376564275,0.050473186119873815,0.9142857142857143,1.0
a fish swimming inside a coral reef near a tag that says 'clownfish habitat',0.9696969696969697,0.8888888888888888,1.0,0.0,0.0,0.9411764705882353,0.9444444444444444,0.6857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
a stack of books on a study desk with a laptop and a notebook titled 'Ideas',1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.6666666666666666,1.0
A plain white envelope with a handwritten address on the front.,0.0,0.23030303030303031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a rulebook titled 'Game Rules',0.14285714285714285,0.9090909090909091,0.1941747572815534,0.039525691699604744,0.045454545454545456,0.04555808656036447,1.0,0.2222222222222222,0.060836501901140684,0.04522613065326633,0.03590664272890485,0.032948929159802305,0.04184100418410042,0.046189376443418015,1.0,0.04466501240694789,0.02976190476190476,0.03550295857988166,1.0,0.05865102639296188
"A large Viking runestone in a forest, with carved runes visible.",0.0,0.0,0.136986301369863,0.0,0.0,0.2882882882882883,0.030303030303030304,0.14492753623188406,0.0,0.0,0.18604651162790697,0.0,0.13333333333333333,0.0,0.06060606060606061,0.03076923076923077,0.18666666666666668,0.175,0.24691358024691357,0.029411764705882353
"A t-shirt that says 'California' in a retro, 1970s-style wavy font.",0.8421052631578947,0.7777777777777778,0.631578947368421,0.8,0.9,0.7368421052631579,0.8421052631578947,0.7368421052631579,0.375,0.8,0.7368421052631579,0.3,0.3783783783783784,0.8421052631578947,0.35294117647058826,0.631578947368421,0.631578947368421,0.2127659574468085,0.6666666666666666,0.631578947368421
a sports bottle with 'Team Spirit' on it,1.0,1.0,0.5714285714285714,0.7586206896551724,1.0,1.0,1.0,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7586206896551724,1.0,1.0,0.4,1.0
a row of colorful books on a library shelf with one titled 'HISTORY OF ART',0.30434782608695654,0.06557377049180328,0.2926829268292683,0.2857142857142857,0.27722772277227725,0.2033898305084746,0.1111111111111111,0.29508196721311475,0.14814814814814814,0.2926829268292683,0.33766233766233766,0.26666666666666666,0.32727272727272727,0.09859154929577464,0.2222222222222222,0.29508196721311475,0.2857142857142857,0.08421052631578947,0.39215686274509803,0.4
A close-up of a car's dashboard with the digital speedometer reading '70 MPH'.,0.19444444444444445,0.10526315789473684,0.12698412698412698,0.20224719101123595,0.2,0.1308411214953271,0.1935483870967742,0.13559322033898305,0.12698412698412698,0.1935483870967742,0.21505376344086022,0.18604651162790697,0.14285714285714285,0.07272727272727272,0.0,0.09836065573770492,0.20408163265306123,0.1686746987951807,0.09836065573770492,0.1348314606741573
a bakery display with fresh pastries and bread and a sign that says 'Fresh Baked Daily',0.7647058823529411,0.8292682926829268,1.0,0.9411764705882353,0.8,0.8823529411764706,0.85,0.9142857142857143,1.0,0.5714285714285714,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9696969696969697,0.7906976744186046,0.9411764705882353,0.8823529411764706,0.9696969696969697,1.0
A wooden door with a brass nameplate that says 'Dr. Evans'.,0.9411764705882353,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8235294117647058,0.8888888888888888,0.7777777777777778,0.8888888888888888
a coffee mug sitting on a cluttered desk with 'JAVA FUEL' printed on the side,0.4186046511627907,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.4444444444444444,0.9473684210526315,0.8571428571428571,1.0,0.8421052631578947,0.6153846153846154,0.8571428571428571,0.782608695652174,1.0
A police car with the word 'POLICE' written on the side.,0.46153846153846156,0.5263157894736842,0.2553191489361702,0.3870967741935484,0.37037037037037035,0.5263157894736842,0.9090909090909091,0.46153846153846156,0.48,0.21052631578947367,0.5,0.16666666666666666,0.2926829268292683,0.25,1.0,0.2727272727272727,1.0,0.45454545454545453,0.5714285714285714,0.35294117647058826
an apron with 'Chef in Training' written on it,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"A team jersey with 'TIGERS' in a classic, athletic, block font with an outline.",0.2857142857142857,0.8333333333333334,0.625,0.3333333333333333,0.21052631578947367,0.3333333333333333,0.5333333333333333,0.6666666666666666,1.0,0.36363636363636365,0.6666666666666666,0.5454545454545454,0.0,0.5,0.8,0.5454545454545454,0.3333333333333333,0.16666666666666666,0.8571428571428571,0.26666666666666666
a brown cardboard box on a tiled floor with a label that says 'books',0.4,0.5,0.15384615384615385,1.0,1.0,1.0,0.25,0.36363636363636365,1.0,0.6666666666666666,1.0,1.0,1.0,0.2857142857142857,0.0,0.1,0.8,0.625,0.38095238095238093,0.7272727272727273
a parrot perched on a tree branch in the jungle next to a wooden sign that reads 'bird zone',1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4444444444444444,1.0,1.0,1.0,1.0
"A section of a dark cave wall, illuminated to show ancient Egyptian hieroglyphs.",0.0,0.023809523809523808,0.1702127659574468,0.17647058823529413,0.2571428571428571,0.10989010989010989,0.12030075187969924,0.0,0.0,0.20202020202020202,0.047058823529411764,0.07058823529411765,0.04819277108433735,0.0,0.0,0.0,0.0,0.1836734693877551,0.07142857142857142,0.30612244897959184
a stack of cardboard boxes in a warehouse with one box labeled 'FRAGILE',0.6363636363636364,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.2222222222222222,0.7777777777777778,1.0,1.0,1.0,1.0
a street sign at an empty intersection with the name 'elm street',0.5882352941176471,0.8,0.6451612903225806,0.5714285714285714,0.7142857142857143,0.6060606060606061,0.46153846153846156,0.6451612903225806,0.7407407407407407,0.4666666666666667,0.6451612903225806,0.7407407407407407,0.6666666666666666,0.6896551724137931,0.35294117647058826,0.625,0.6060606060606061,0.6451612903225806,0.5128205128205128,0.7407407407407407
A yellow school bus with 'SCHOOL BUS' printed in black letters on the side.,0.8571428571428571,0.9,0.6,1.0,0.6,0.9473684210526315,1.0,0.7407407407407407,0.9473684210526315,0.6,0.5714285714285714,0.9090909090909091,0.8,0.6086956521739131,0.35294117647058826,0.6,0.5454545454545454,0.5454545454545454,0.9473684210526315,0.9473684210526315
a bookmark reading 'Chapter 5',0.012727272727272728,0.03827751196172249,0.01345668629100084,0.023809523809523808,0.010351966873706004,0.014625228519195612,0.7777777777777778,0.008904719501335707,0.02085747392815759,0.005857740585774059,0.009036144578313253,0.017204301075268817,0.011363636363636364,0.006947890818858561,0.7777777777777778,0.004842615012106538,0.013333333333333334,0.013757523645743766,0.0109717868338558,0.008849557522123894
a computer screen in a home office setup displaying the message 'meeting at 3pm',0.7878787878787878,0.8461538461538461,0.8387096774193549,0.9032258064516129,0.7777777777777778,0.6153846153846154,0.7692307692307693,0.6829268292682927,0.7878787878787878,0.7647058823529411,1.0,0.7567567567567568,0.7272727272727273,0.9285714285714286,0.6153846153846154,0.7647058823529411,0.7428571428571429,0.7368421052631579,0.7777777777777778,0.8235294117647058
an instruction sheet titled 'Assembly Guide',0.016928657799274487,0.04411764705882353,0.014395886889460155,0.01338432122370937,0.0190865712338105,0.013102480112306972,0.0,0.016383850204798128,0.08211143695014662,0.013005109150023224,0.013725490196078431,0.01376597836774828,0.013090229079008883,0.012533572068039392,0.0,0.014300306435137897,0.013678553981436248,0.013658536585365854,0.015774647887323943,0.01700060716454159
a magazine with 'Sports Weekly' on the cover,0.05574912891986063,0.03619909502262444,0.06685236768802229,0.059782608695652176,0.05789473684210526,0.043583535108958835,0.1565217391304348,0.05063291139240506,0.04819277108433735,0.06074766355140187,0.03194888178913738,0.05183585313174946,0.045454545454545456,0.06295399515738499,0.0622568093385214,0.0625,0.03985507246376811,0.046242774566473986,0.0446927374301676,0.03600654664484452
a lanyard that says 'Staff',1.0,0.5263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0
a warning sign that reads 'Wet Floor',1.0,0.6428571428571429,0.7142857142857143,1.0,1.0,0.8181818181818182,1.0,1.0,0.9,1.0,0.6,1.0,1.0,0.6923076923076923,0.6428571428571429,1.0,1.0,1.0,1.0,1.0
a flag with 'Welcome Home' written on it,0.9166666666666666,1.0,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.5833333333333334,1.0,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.5833333333333334,1.0,0.9230769230769231,0.88,0.5833333333333334,1.0,1.0,0.5833333333333334
a ticket reading 'Concert Admit One',0.5238095238095238,0.6470588235294118,0.3008849557522124,0.19883040935672514,0.6538461538461539,0.7272727272727273,0.7857142857142857,0.6666666666666666,0.7272727272727273,0.43902439024390244,0.45714285714285713,0.4782608695652174,0.6285714285714286,0.5217391304347826,0.6470588235294118,0.55,0.55,0.6285714285714286,0.5,0.4583333333333333
