prompt,layer_3,layer_24,layer_23,layer_4,layer_16,layer_11,layer_18,cfg,layer_19,layer_10,layer_17,layer_22,layer_5,layer_2,layer_25,layer_14,layer_13,layer_1,layer_26,layer_21,layer_6,layer_8,layer_9,layer_20,layer_7,layer_0,layer_27,layer_12,layer_15
"A computer screen with the word 'WELCOME' in a pixelated, 8-bit font.",0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.4444444444444444,0.0,0.3076923076923077,0.0,0.0,0.1,0.0
a billboard reading 'Visit Miami',0.2857142857142857,0.3333333333333333,0.32,0.4166666666666667,0.2608695652173913,0.4444444444444444,0.4166666666666667,0.4,0.25806451612903225,0.3157894736842105,0.25,0.21052631578947367,0.29411764705882354,0.0,0.24,0.48,0.38461538461538464,0.0,0.0,0.26666666666666666,0.4,0.23529411764705882,0.38461538461538464,0.3076923076923077,0.3870967741935484,0.0,0.0,0.22857142857142856,0.25
a brochure titled 'Visit Paris',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.1111111111111111,0.0,0.12903225806451613,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.10526315789473684,0.0,0.2,0.11764705882352941,0.0,0.0,0.0,0.0
a brown dog sitting on a sidewalk wearing a tag that says 'buddy',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.125,0.25,0.0,0.0,0.0,0.26666666666666666,0.2,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
a patch with 'Explorer' written on it,0.0,0.0,0.0,0.3076923076923077,0.26666666666666666,0.3076923076923077,0.0,0.0,0.14285714285714285,0.3076923076923077,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
a gym towel with 'Fitness Club' on it,0.0,0.13793103448275862,0.25,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.23529411764705882
a stack of books on a study desk with a laptop and a notebook titled 'Ideas',0.14285714285714285,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
a card that reads 'Happy Birthday',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a red apple on a wooden table with a sticker that says 'organic',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a group of teenagers sitting around a campfire at night with a blanket that says 'Adventure Club',0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2222222222222222,0.21052631578947367,0.0,0.32,0.13333333333333333,0.0,0.0,0.0
"A sign that says 'MAGIC' in a whimsical, sparkling, fantasy font.",0.3076923076923077,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.15384615384615385,0.0,0.4,0.0,0.0,0.13333333333333333,0.125,0.0,0.4444444444444444,0.18181818181818182,0.15384615384615385,0.0,0.0,0.25,0.0
a kid playing with building blocks on the floor next to a box labeled 'TOYS',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a cap with 'NYC' embroidered on it,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0
"A person wearing a graduation robe, holding a diploma with visible text.",0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.1038961038961039,0.0,0.0,0.0,0.0,0.23853211009174313,0.0,0.0,0.0,0.0,0.0,0.0,0.1477832512315271,0.0,0.15555555555555556,0.07692307692307693,0.0,0.10126582278481013,0.0,0.07692307692307693,0.0,0.0
an envelope addressed 'To: John Smith',0.08130081300813008,0.3076923076923077,0.16,0.058823529411764705,0.2909090909090909,0.22857142857142856,0.21621621621621623,0.3076923076923077,0.1568627450980392,0.16666666666666666,0.16326530612244897,0.3157894736842105,0.13793103448275862,0.0,0.2222222222222222,0.3448275862068966,0.3448275862068966,0.0,0.1111111111111111,0.19047619047619047,0.2564102564102564,0.10810810810810811,0.2857142857142857,0.23728813559322035,0.07407407407407407,0.0,0.0,0.11764705882352941,0.06666666666666667
a notebook with 'My Ideas' on the cover,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.2222222222222222,0.0,0.18181818181818182,0.0,0.3076923076923077,0.21052631578947367,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
a whiteboard with 'Meeting at 3pm' written on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19753086419753085,0.0,0.0,0.17391304347826086,0.08421052631578947,0.0,0.0,0.09523809523809523,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.0,0.0,0.0,0.0,0.0
a group of penguins standing on an icy shoreline near a research sign that says 'penguin colony',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a cat sitting on a windowsill in a sunny room beside a pillow labeled 'nap spot',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a shoe with 'Nike' on the side,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0
"A close-up of a U.S. quarter, with 'LIBERTY' and 'IN GOD WE TRUST' visible.",0.0,0.07142857142857142,0.16,0.3,0.17647058823529413,0.2727272727272727,0.10526315789473684,0.25,0.14285714285714285,0.14285714285714285,0.06896551724137931,0.0,0.2553191489361702,0.0,0.26666666666666666,0.13793103448275862,0.12903225806451613,0.0,0.0,0.0,0.3783783783783784,0.2702702702702703,0.2727272727272727,0.04,0.18181818181818182,0.0,0.0,0.1875,0.15384615384615385
a label that says 'Organic',0.1111111111111111,0.13043478260869565,0.07692307692307693,0.1,0.07547169811320754,0.05194805194805195,0.043478260869565216,0.06722689075630252,0.03278688524590164,0.10869565217391304,0.1509433962264151,0.07407407407407407,0.08955223880597014,0.0,0.0,0.09090909090909091,0.1509433962264151,0.0,0.0,0.05263157894736842,0.1875,0.06593406593406594,0.06896551724137931,0.09195402298850575,0.034482758620689655,0.0,0.0,0.09411764705882353,0.13043478260869565
a war memorial in a foggy park surrounded by autumn leaves with an inscription that reads 'for those who served',0.14285714285714285,0.25,0.25806451612903225,0.2926829268292683,0.14432989690721648,0.2222222222222222,0.23333333333333334,0.35,0.3111111111111111,0.32,0.358974358974359,0.0,0.23809523809523808,0.0,0.3076923076923077,0.13043478260869565,0.2545454545454545,0.0,0.08333333333333333,0.35,0.21428571428571427,0.2857142857142857,0.2647058823529412,0.25806451612903225,0.32558139534883723,0.0,0.0,0.2926829268292683,0.35555555555555557
a bakery display with fresh pastries and bread and a sign that says 'Fresh Baked Daily',0.32432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.23809523809523808,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A sign that says 'WANTED' in a rustic, western, wood-block font.",0.09523809523809523,0.11764705882352941,0.1111111111111111,0.20689655172413793,0.16666666666666666,0.30303030303030304,0.35294117647058826,0.08888888888888889,0.058823529411764705,0.2962962962962963,0.25,0.25,0.16666666666666666,0.0,0.07692307692307693,0.24242424242424243,0.2631578947368421,0.0,0.0,0.2,0.27586206896551724,0.2222222222222222,0.20689655172413793,0.20512820512820512,0.2857142857142857,0.0,0.0,0.22857142857142856,0.3333333333333333
a receipt showing 'Total: $15.99',0.006882312456985547,0.02321083172147002,0.0,0.027777777777777776,0.0063371356147021544,0.006523157208088715,0.08333333333333333,0.00818452380952381,0.2,0.00641025641025641,0.006337709370755998,0.012024048096192385,0.004820729135281711,0.0,0.07692307692307693,0.003115264797507788,0.004310344827586207,0.0,0.10526315789473684,0.006947890818858561,0.029850746268656716,0.008746355685131196,0.008680555555555556,0.00784313725490196,0.005852842809364548,0.0,0.13333333333333333,0.006271379703534778,0.006273525721455458
a flag with 'Welcome Home' written on it,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a woman painting on a canvas in her studio with a wall poster that says 'Inspire',0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A university building with 'LIBRARY' carved in stone above the entrance.,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.09523809523809523,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
a jersey with number '10' on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an instruction sheet titled 'Assembly Guide',0.006153846153846154,0.04819277108433735,0.0,0.09271523178807947,0.017486338797814208,0.02944507361268403,0.0,0.0163265306122449,0.0,0.020222446916076844,0.09009009009009009,0.08955223880597014,0.012024048096192385,0.0,0.14285714285714285,0.011088011088011088,0.017591339648173207,0.0,0.0,0.06837606837606838,0.03686635944700461,0.013745704467353952,0.010238907849829351,0.016736401673640166,0.013888888888888888,0.1111111111111111,0.0,0.020080321285140562,0.015434083601286173
"A detective's office with a corkboard covered in notes, photos, and newspaper clippings with visible text.",0.08776371308016878,0.13829787234042554,0.2064516129032258,0.23783783783783785,0.15085158150851583,0.1893491124260355,0.27,0.12121212121212122,0.2109375,0.08917197452229299,0.1015625,0.17721518987341772,0.2138364779874214,0.0,0.13675213675213677,0.2376237623762376,0.24778761061946902,0.0,0.0,0.2436548223350254,0.16,0.1450381679389313,0.27106227106227104,0.20444444444444446,0.1589958158995816,0.0,0.0,0.2347417840375587,0.25806451612903225
a postcard with 'Greetings from Paris' on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a wallet with 'Genuine Leather' embossed on it,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a hoodie with 'California' written on it,0.2222222222222222,0.3,0.0,0.21052631578947367,0.125,0.3,0.1111111111111111,0.3,0.10526315789473684,0.10526315789473684,0.36363636363636365,0.0,0.34782608695652173,0.0,0.2608695652173913,0.18181818181818182,0.2222222222222222,0.0,0.0,0.42105263157894735,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.4,0.2857142857142857,0.0,0.0,0.35294117647058826,0.3
an envelope addressed 'To: John Smith',0.2222222222222222,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a letter addressed 'Dear Mom',0.0,0.0,0.02237136465324385,0.0,0.03404255319148936,0.0,0.020338983050847456,0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02959830866807611,0.0,0.0,0.0,0.0,0.02676864244741874
a person climbing a rock wall indoors wearing a shirt labeled 'Climb On',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a ticket reading 'Concert Admit One',0.12244897959183673,0.09090909090909091,0.25,0.2077922077922078,0.07079646017699115,0.03773584905660377,0.1875,0.043373493975903614,0.14414414414414414,0.0462046204620462,0.07329842931937172,0.14705882352941177,0.04390243902439024,0.0,0.12403100775193798,0.0374414976599064,0.025044722719141325,0.0,0.0,0.04221635883905013,0.17391304347826086,0.1,0.026905829596412557,0.06853582554517133,0.05893909626719057,0.0,0.0,0.038535645472061654,0.03648424543946932
a directory titled 'Building Map',0.09523809523809523,0.05714285714285714,0.3,0.08333333333333333,0.27586206896551724,0.2222222222222222,0.0,0.208955223880597,0.18823529411764706,0.057803468208092484,0.2857142857142857,0.21621621621621623,0.0392156862745098,0.0,0.17142857142857143,0.2608695652173913,0.09375,0.0,0.0,0.2857142857142857,0.0,0.175,0.05223880597014925,0.05787781350482315,0.12080536912751678,0.0,0.0,0.18181818181818182,0.0
a recipe card titled 'Chocolate Cake',0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.08284023668639054,0.0,0.031683168316831684,0.02536997885835095,0.18181818181818182,0.03296703296703297,0.0,0.06338028169014084,0.0,0.06666666666666667,0.0,0.1111111111111111,0.0,0.0,0.15384615384615385,0.09876543209876543,0.05907172995780591,0.0,0.0,0.0,0.2,0.15384615384615385
a notebook cover that says 'My Ideas',0.19047619047619047,0.06896551724137931,0.17391304347826086,0.18181818181818182,0.2222222222222222,0.13333333333333333,0.17142857142857143,0.11764705882352941,0.18181818181818182,0.04878048780487805,0.14814814814814814,0.125,0.17647058823529413,0.0,0.21052631578947367,0.11428571428571428,0.16,0.2,0.0,0.2222222222222222,0.12121212121212122,0.08,0.06451612903225806,0.13333333333333333,0.13333333333333333,0.0,0.0,0.05714285714285714,0.13333333333333333
a keychain with 'Home Sweet Home' on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a hat with 'Beach Life' embroidered on it,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
an abandoned train station covered in overgrown vines and rusted metal with a faded sign that says 'central line closed',0.26666666666666666,0.0,0.0,0.26666666666666666,0.25,0.2608695652173913,0.17391304347826086,0.0,0.0,0.18181818181818182,0.24,0.0,0.0,0.0,0.0,0.16666666666666666,0.2962962962962963,0.0,0.09090909090909091,0.16666666666666666,0.0,0.24,0.32,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
a whiteboard with 'Meeting at 3pm' written on it,0.0,0.12962962962962962,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.0,0.0,0.20588235294117646,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.18181818181818182,0.12631578947368421,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0
"A page from a novel, filled with dense paragraphs of text.",0.011632415664986429,0.16783216783216784,0.14388489208633093,0.07551487414187644,0.08172043010752689,0.05875440658049354,0.0,0.1286549707602339,0.11331444759206799,0.10526315789473684,0.0,0.0,0.04314720812182741,0.0,0.022187004754358162,0.0903954802259887,0.04106776180698152,0.0,0.0,0.2247191011235955,0.26229508196721313,0.22857142857142856,0.07692307692307693,0.06909090909090909,0.09523809523809523,0.0,0.0,0.03282828282828283,0.027218934911242602
a letter addressed 'Dear Mom',0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a report titled 'Annual Summary',0.024806201550387597,0.2962962962962963,0.0,0.0,0.1,0.21428571428571427,0.0,0.09523809523809523,0.0,0.08928571428571429,0.13333333333333333,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.10191082802547771,0.0,0.1188118811881188,0.16,0.1111111111111111,0.17391304347826086,0.0,0.0,0.0,0.0
a boy flying a kite in an open field with the words 'sky dreamer' written on the kite,0.13793103448275862,0.2222222222222222,0.2,0.2222222222222222,0.24390243902439024,0.2857142857142857,0.37037037037037035,0.17391304347826086,0.2222222222222222,0.15384615384615385,0.2222222222222222,0.2727272727272727,0.20689655172413793,0.0,0.0,0.1935483870967742,0.1935483870967742,0.0,0.0,0.08,0.38095238095238093,0.16,0.2222222222222222,0.17391304347826086,0.24,0.0,0.0,0.2857142857142857,0.12121212121212122
a phone case that says 'Dream Big',0.0,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"a courtroom with wooden benches, flags, and high ceilings with a plaque above the judge's bench that reads 'in justice we trust'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
a small mailbox standing at the edge of a rural road with 'the andersons' painted on the side,0.1875,0.21052631578947367,0.1,0.2,0.3,0.2,0.18181818181818182,0.1111111111111111,0.1,0.2222222222222222,0.18181818181818182,0.19047619047619047,0.2857142857142857,0.0,0.2,0.09523809523809523,0.3,0.0,0.21052631578947367,0.4,0.11764705882352941,0.1,0.19047619047619047,0.2,0.3,0.0,0.0,0.1111111111111111,0.2222222222222222
a delivery box on a wooden porch with a label that says 'books inside',0.1095890410958904,0.14814814814814814,0.0,0.13333333333333333,0.09090909090909091,0.18181818181818182,0.08247422680412371,0.2608695652173913,0.17777777777777778,0.18604651162790697,0.05555555555555555,0.10416666666666667,0.25,0.0,0.08955223880597014,0.23076923076923078,0.0784313725490196,0.0,0.0,0.08888888888888889,0.14545454545454545,0.14545454545454545,0.11320754716981132,0.13157894736842105,0.07317073170731707,0.0,0.0,0.0625,0.05263157894736842
a planner with '2025 Goals' on the cover,0.05714285714285714,0.13333333333333333,0.1,0.125,0.14285714285714285,0.07407407407407407,0.19047619047619047,0.09090909090909091,0.16666666666666666,0.09230769230769231,0.08888888888888889,0.0,0.06666666666666667,0.0,0.2222222222222222,0.14035087719298245,0.09090909090909091,0.0,0.0,0.18181818181818182,0.20689655172413793,0.07017543859649122,0.2857142857142857,0.15384615384615385,0.17391304347826086,0.0,0.0,0.0,0.16
A yellow taxi cab with a sign on top that says 'TAXI'.,0.125,0.0,0.08695652173913043,0.2727272727272727,0.23076923076923078,0.08333333333333333,0.24,0.19047619047619047,0.08,0.13333333333333333,0.2222222222222222,0.13333333333333333,0.25,0.0,0.26666666666666666,0.18181818181818182,0.0625,0.0,0.36363636363636365,0.09523809523809523,0.3076923076923077,0.14814814814814814,0.23076923076923078,0.1,0.1111111111111111,0.0,0.0,0.11764705882352941,0.18181818181818182
a chalkboard in a quiet university lecture hall with the words 'final exam schedule' written on it,0.0,0.1724137931034483,0.14285714285714285,0.06666666666666667,0.1518987341772152,0.11627906976744186,0.046511627906976744,0.16,0.08695652173913043,0.08484848484848485,0.07560137457044673,0.11188811188811189,0.03571428571428571,0.0,0.08376963350785341,0.09836065573770492,0.053156146179401995,0.0,0.0,0.125,0.0,0.09090909090909091,0.07194244604316546,0.05319148936170213,0.0916030534351145,0.0,0.0,0.11428571428571428,0.10196078431372549
a lunch box with 'Emma's Lunch' written on it,0.18181818181818182,0.0,0.2222222222222222,0.0,0.2857142857142857,0.18181818181818182,0.0,0.4,0.2857142857142857,0.0,0.25,0.0,0.2,0.0,0.13333333333333333,0.2,0.18181818181818182,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.18181818181818182,0.2857142857142857,0.125,0.0,0.0,0.0,0.36363636363636365
